,Unnamed: 0,Name,Age,Overall,Potential,Club,Value,Wage,Acceleration,Aggression,Ball control,Dribbling,Finishing,Shot power,Strength,Sprint speed,Stamina,Preferred Positions,Thou/Mill,Value Int,Wage Int,Preferred Position,age group,class group
2899,2899,M. Gómez,20,73,81,RC Celta de Vigo,€6M,€20K,64.0,47.0,67.0,64.0,78.0,76.0,77.0,67.0,68.0,ST ,Mill,6000000.0,20000.0,ST,18-24,Pro
2901,2901,F. Klaus,24,73,76,Hannover 96,€5M,€32K,85.0,60.0,70.0,75.0,65.0,74.0,67.0,78.0,77.0,LM RM ,Mill,5000000.0,32000.0,LM,18-24,Pro
2902,2902,O. Kayode,24,73,77,Girona CF,€5.5M,€88K,91.0,69.0,72.0,73.0,75.0,69.0,47.0,93.0,75.0,ST ,Mill,5000000.0,88000.0,ST,18-24,Pro
2903,2903,Jorge Molina,35,73,73,Getafe CF,€1.8M,€19K,32.0,76.0,72.0,56.0,77.0,83.0,88.0,32.0,78.0,ST ,Mill,1000000.0,19000.0,ST,30-36,Pro
2906,2906,O. Kaya,31,73,73,SV Zulte-Waregem,€3.5M,€17K,71.0,41.0,73.0,72.0,65.0,65.0,56.0,65.0,65.0,LW CAM LM ,Mill,3000000.0,17000.0,LW,30-36,Pro
2908,2908,K. Möhwald,23,73,78,1. FC Nürnberg,€5.5M,€12K,65.0,53.0,71.0,74.0,56.0,82.0,65.0,68.0,79.0,CM CAM ,Mill,5000000.0,12000.0,CM,18-24,Pro
2909,2909,D. Silva,30,73,73,CD Los Millionarios Bogota,€3.7M,€5K,74.0,72.0,71.0,72.0,68.0,72.0,69.0,75.0,90.0,CDM LM CAM CM ,Mill,3000000.0,5000.0,CD,24-30,Pro
2910,2910,F. Ceravolo,30,73,73,Parma,€3.9M,€30K,74.0,53.0,75.0,74.0,75.0,70.0,74.0,76.0,76.0,CAM ST ,Mill,3000000.0,30000.0,CA,24-30,Pro
2911,2911,A. Rodríguez,28,73,73,Deportes Tolima,€4.1M,€2K,72.0,73.0,74.0,60.0,74.0,74.0,83.0,69.0,69.0,ST ,Mill,4000000.0,2000.0,ST,24-30,Pro
2914,2914,J. Palomino,27,73,75,Atalanta,€3.9M,€24K,64.0,59.0,66.0,63.0,26.0,48.0,85.0,37.0,72.0,CB ,Mill,3000000.0,24000.0,CB,24-30,Pro
2915,2915,A. Ulmer,31,73,73,FC Red Bull Salzburg,€2.6M,€28K,70.0,67.0,70.0,67.0,45.0,72.0,65.0,73.0,85.0,LB ,Mill,2000000.0,28000.0,LB,30-36,Pro
2916,2916,J. Pied,28,73,73,Southampton,€3.2M,€63K,73.0,77.0,75.0,75.0,61.0,83.0,70.0,70.0,75.0,LB RM RB ,Mill,3000000.0,63000.0,LB,24-30,Pro
2917,2917,L. De Bock,24,73,76,Club Brugge KV,€4.2M,€18K,73.0,79.0,70.0,67.0,36.0,68.0,76.0,76.0,77.0,LWB LB ,Mill,4000000.0,18000.0,LW,18-24,Pro
2918,2918,M. van der Hoorn,24,73,77,Swansea City,€4.4M,€45K,34.0,64.0,54.0,45.0,42.0,73.0,85.0,42.0,57.0,CB ,Mill,4000000.0,45000.0,CB,18-24,Pro
2919,2919,C. Mayada,26,73,73,River Plate,€3.4M,€19K,92.0,61.0,68.0,74.0,58.0,68.0,69.0,90.0,83.0,RM RB ,Mill,3000000.0,19000.0,RM,24-30,Pro
2920,2920,M. Lazzari,23,73,80,Ferrara (SPAL),€5.5M,€13K,83.0,36.0,72.0,71.0,55.0,48.0,48.0,83.0,76.0,RM ,Mill,5000000.0,13000.0,RM,18-24,Pro
2922,2922,F. Ogude,29,73,73,Amkar Perm,€3.1M,€21K,65.0,85.0,66.0,62.0,61.0,79.0,84.0,76.0,92.0,CM CDM ,Mill,3000000.0,21000.0,CM,24-30,Pro
2923,2923,G. Laborde,23,73,79,Girondins de Bordeaux,€5.5M,€36K,67.0,68.0,72.0,70.0,75.0,70.0,75.0,71.0,78.0,ST ,Mill,5000000.0,36000.0,ST,18-24,Pro
2924,2924,W. Zimmerman,24,73,78,FC Dallas,€4.5M,€7K,55.0,82.0,65.0,42.0,52.0,57.0,83.0,64.0,75.0,CB ,Mill,4000000.0,7000.0,CB,18-24,Pro
2925,2925,S. Arfield,28,73,73,Burnley,€4M,€51K,70.0,42.0,72.0,74.0,69.0,69.0,69.0,68.0,82.0,CM LM ,Mill,4000000.0,51000.0,CM,24-30,Pro
2900,2900,I. Saadi,25,73,77,RC Strasbourg,€5M,€24K,77.0,71.0,67.0,70.0,76.0,78.0,80.0,76.0,76.0,ST ,Mill,5000000.0,24000.0,ST,24-30,Pro
2898,2898,O. Vizcarrondo,33,73,73,ES Troyes AC,€1.6M,€21K,28.0,85.0,44.0,26.0,43.0,58.0,83.0,27.0,59.0,CB ,Mill,1000000.0,21000.0,CB,30-36,Pro
2927,2927,O. Veigneau,31,73,73,Kasimpaşa SK,€2.6M,€14K,68.0,72.0,69.0,69.0,25.0,66.0,64.0,72.0,72.0,LB ,Mill,2000000.0,14000.0,LB,30-36,Pro
2897,2897,A. Gerndt,30,73,73,FC Lugano,€3.9M,€11K,80.0,63.0,73.0,72.0,72.0,75.0,70.0,73.0,75.0,CAM ST ,Mill,3000000.0,11000.0,CA,24-30,Pro
2874,2874,G. Hauche,30,73,73,Deportivo Toluca,€3.9M,€20K,90.0,82.0,77.0,77.0,70.0,73.0,61.0,89.0,73.0,LM ST ,Mill,3000000.0,20000.0,LM,24-30,Pro
2875,2875,M. Coldado,29,73,73,CD Antofagasta,€3.1M,€5K,59.0,68.0,66.0,71.0,59.0,54.0,73.0,55.0,72.0,RM CM CDM ,Mill,3000000.0,5000.0,RM,24-30,Pro
2877,2877,A. Westwood,27,73,74,Burnley,€4.5M,€48K,68.0,49.0,77.0,65.0,47.0,62.0,65.0,63.0,78.0,CDM CM ,Mill,4000000.0,48000.0,CD,24-30,Pro
2878,2878,C. Ciano,27,73,73,Frosinone,€4.2M,€6K,87.0,51.0,77.0,76.0,70.0,70.0,62.0,74.0,68.0,LW RW ,Mill,4000000.0,6000.0,LW,24-30,Pro
2879,2879,A. Andrade,28,73,73,Club León,€4M,€30K,80.0,35.0,75.0,78.0,62.0,78.0,61.0,80.0,79.0,CM LM RM ,Mill,4000000.0,30000.0,CM,24-30,Pro
2880,2880,Costinha,24,73,78,Vitória Setúbal,€5.5M,€8K,91.0,85.0,73.0,75.0,63.0,74.0,38.0,85.0,80.0,CAM CDM CM ,Mill,5000000.0,8000.0,CA,18-24,Pro
2882,2882,G. Milanov,25,73,75,CSKA Moscow,€4.9M,€38K,75.0,56.0,73.0,74.0,66.0,72.0,61.0,81.0,72.0,CAM RM LM ,Mill,4000000.0,38000.0,CA,24-30,Pro
2883,2883,Pedro Rocha,22,73,82,Spartak Moscow,€6M,€49K,79.0,42.0,72.0,75.0,72.0,61.0,59.0,79.0,55.0,LM ST LW ,Mill,6000000.0,49000.0,LM,18-24,Pro
2885,2885,Samir,22,73,80,Udinese,€4.7M,€20K,66.0,78.0,67.0,48.0,24.0,60.0,79.0,69.0,73.0,CB LB ,Mill,4000000.0,20000.0,CB,18-24,Pro
2886,2886,W. Anton,20,73,83,Hannover 96,€5.5M,€25K,47.0,74.0,61.0,54.0,41.0,49.0,77.0,64.0,68.0,RB CDM CB ,Mill,5000000.0,25000.0,RB,18-24,Pro
2887,2887,D. Kombarov,30,73,73,Spartak Moscow,€2.9M,€47K,75.0,77.0,78.0,74.0,68.0,69.0,59.0,80.0,85.0,LWB LB ,Mill,2000000.0,47000.0,LW,24-30,Pro
2888,2888,J. Guðmundsson,26,73,74,Burnley,€4.7M,€48K,80.0,63.0,75.0,77.0,68.0,84.0,72.0,77.0,78.0,CAM RM ,Mill,4000000.0,48000.0,CA,24-30,Pro
2889,2889,M. Jajalo,29,73,73,Palermo,€3.8M,€5K,55.0,71.0,76.0,71.0,53.0,73.0,74.0,68.0,76.0,CAM CDM CM ,Mill,3000000.0,5000.0,CA,24-30,Pro
2890,2890,H. Mukhtar,22,73,84,Brøndby IF,€7M,€18K,75.0,36.0,77.0,76.0,62.0,73.0,52.0,81.0,75.0,CAM ,Mill,7000000.0,18000.0,CA,18-24,Pro
2891,2891,Bustinza,25,73,77,CD Leganés,€4.3M,€20K,68.0,71.0,69.0,56.0,30.0,44.0,71.0,71.0,80.0,RWB CB RB ,Mill,4000000.0,20000.0,RW,24-30,Pro
2892,2892,F. Berrier,33,73,73,KV Oostende,€2.4M,€17K,57.0,37.0,71.0,66.0,64.0,66.0,45.0,50.0,67.0,CAM ,Mill,2000000.0,17000.0,CA,30-36,Pro
2893,2893,Gérson Noalha,29,73,73,Associação Chapecoense de Futebol,€4M,€20K,66.0,55.0,76.0,76.0,75.0,86.0,69.0,85.0,74.0,LM CAM ST ,Mill,4000000.0,20000.0,LM,24-30,Pro
2894,2894,Bernardo,22,73,81,RB Leipzig,€5M,€40K,69.0,73.0,69.0,63.0,28.0,67.0,71.0,79.0,76.0,LB RB ,Mill,5000000.0,40000.0,LB,18-24,Pro
2895,2895,M. Amalfitano,32,73,73,Stade Rennais FC,€3.1M,€23K,65.0,41.0,76.0,73.0,68.0,74.0,61.0,68.0,65.0,RW LW CM RM ,Mill,3000000.0,23000.0,RW,30-36,Pro
2926,2926,A. González,22,73,80,Monterrey,€5.5M,€42K,78.0,53.0,76.0,72.0,65.0,71.0,68.0,79.0,83.0,CM LM CAM ,Mill,5000000.0,42000.0,CM,18-24,Pro
2928,2928,S. Barreiro,23,73,81,Club Atlas,€5M,€17K,71.0,61.0,50.0,48.0,28.0,49.0,72.0,68.0,77.0,CB ,Mill,5000000.0,17000.0,CB,18-24,Pro
2978,2978,Benjamin Meseira,33,73,73,Santos Futebol Clube,€1.5M,€17K,77.0,67.0,71.0,67.0,34.0,70.0,71.0,81.0,85.0,RB ,Mill,1000000.0,17000.0,RB,30-36,Pro
2955,2955,K. Musona,27,73,73,KV Oostende,€4.2M,€17K,79.0,49.0,75.0,76.0,75.0,74.0,44.0,77.0,72.0,RM CAM LM ,Mill,4000000.0,17000.0,RM,24-30,Pro
2957,2957,S. Sanogo,28,73,74,BSC Young Boys,€3.6M,€22K,80.0,73.0,72.0,75.0,48.0,68.0,80.0,62.0,82.0,CM CDM ,Mill,3000000.0,22000.0,CM,24-30,Pro
2958,2958,M. Meza,25,73,76,Independiente,€5M,€20K,77.0,73.0,75.0,77.0,68.0,75.0,65.0,81.0,75.0,LM RM ,Mill,5000000.0,20000.0,LM,24-30,Pro
2959,2959,W. Segrado,29,73,73,CD O'Higgins,€3.9M,€9K,67.0,48.0,73.0,71.0,64.0,62.0,47.0,71.0,78.0,LM CAM RM ,Mill,3000000.0,9000.0,LM,24-30,Pro
2960,2960,Vítor Gomes,29,73,73,CD Aves,€3.8M,€14K,55.0,75.0,75.0,71.0,53.0,77.0,75.0,60.0,74.0,CDM CM ,Mill,3000000.0,14000.0,CD,24-30,Pro
2961,2961,M. Maâzou,28,73,73,RC Lens,€4.1M,€12K,89.0,79.0,64.0,66.0,72.0,81.0,82.0,87.0,80.0,RW ST ,Mill,4000000.0,12000.0,RW,24-30,Pro
2962,2962,David Simão,27,73,74,Boavista FC,€4.5M,€10K,69.0,75.0,72.0,71.0,64.0,79.0,76.0,68.0,76.0,CM ,Mill,4000000.0,10000.0,CM,24-30,Pro
2963,2963,V. Le Goff,27,73,74,FC Lorient,€3.7M,€8K,73.0,61.0,73.0,69.0,57.0,60.0,60.0,68.0,76.0,LB ,Mill,3000000.0,8000.0,LB,24-30,Pro
2964,2964,T. Foket,22,73,79,KAA Gent,€5.5M,€19K,82.0,66.0,72.0,73.0,50.0,67.0,65.0,78.0,83.0,RB RM ,Mill,5000000.0,19000.0,RB,18-24,Pro
2965,2965,E. Pulgar,23,73,79,Bologna,€4.7M,€36K,67.0,76.0,76.0,72.0,45.0,72.0,78.0,67.0,77.0,CM CDM ,Mill,4000000.0,36000.0,CM,18-24,Pro
2966,2966,H. Menosse,30,73,73,Granada CF,€3M,€10K,60.0,85.0,52.0,30.0,28.0,65.0,83.0,66.0,71.0,CB ,Mill,3000000.0,10000.0,CB,24-30,Pro
2967,2967,Assis,26,73,75,SC Braga,€4M,€11K,73.0,71.0,73.0,68.0,47.0,62.0,55.0,72.0,75.0,CDM ,Mill,4000000.0,11000.0,CD,24-30,Pro
2968,2968,A. Roa,24,73,79,Asociacion Deportivo Cali,€5.5M,€3K,79.0,58.0,75.0,78.0,63.0,58.0,57.0,81.0,65.0,CAM ,Mill,5000000.0,3000.0,CA,18-24,Pro
2969,2969,A. Jędrzejczyk,29,73,73,Legia Warszawa,€3M,€11K,74.0,83.0,68.0,63.0,48.0,71.0,76.0,72.0,80.0,RB ,Mill,3000000.0,11000.0,RB,24-30,Pro
2970,2970,J. Howson,29,73,73,Middlesbrough,€3.8M,€19K,67.0,72.0,73.0,69.0,66.0,78.0,66.0,66.0,87.0,CDM CM ,Mill,3000000.0,19000.0,CD,24-30,Pro
2971,2971,T. Šunjić,28,73,74,Dinamo Moscow,€3.6M,€31K,48.0,74.0,33.0,30.0,24.0,64.0,92.0,63.0,69.0,CB ,Mill,3000000.0,31000.0,CB,24-30,Pro
2972,2972,J. Arango,26,73,74,CD Once Caldas Manizales,€4.7M,€3K,79.0,83.0,70.0,74.0,74.0,75.0,71.0,80.0,63.0,ST CAM ,Mill,4000000.0,3000.0,ST,24-30,Pro
2974,2974,Varela,32,73,73,Kayserispor,€3.1M,€17K,75.0,48.0,75.0,76.0,72.0,85.0,76.0,73.0,57.0,RM LM RW LW ,Mill,3000000.0,17000.0,RM,30-36,Pro
2975,2975,T. Reginiussen,31,73,73,Rosenborg BK,€2.7M,€8K,69.0,71.0,55.0,45.0,31.0,61.0,80.0,67.0,62.0,CB ,Mill,2000000.0,8000.0,CB,30-36,Pro
2977,2977,Ilori,24,73,78,Reading,€4.5M,€27K,75.0,61.0,67.0,58.0,39.0,43.0,77.0,75.0,69.0,CB ,Mill,4000000.0,27000.0,CB,18-24,Pro
2956,2956,Tiago,24,73,74,Shimizu S-Pulse,€4.9M,€35K,84.0,46.0,77.0,74.0,75.0,70.0,67.0,82.0,60.0,LM CF ,Mill,4000000.0,35000.0,LM,18-24,Pro
2954,2954,G. Rodríguez,22,73,77,Club América,€4.4M,€38K,59.0,83.0,70.0,59.0,41.0,59.0,78.0,61.0,73.0,CM CDM ,Mill,4000000.0,38000.0,CM,18-24,Pro
2930,2930,C. Doukouré,24,73,79,Levante UD,€4.7M,€18K,76.0,74.0,72.0,66.0,52.0,70.0,76.0,72.0,84.0,CM CDM ,Mill,4000000.0,18000.0,CM,18-24,Pro
2952,2952,M. Barrios,26,73,74,FC Dallas,€4.7M,€9K,93.0,56.0,70.0,72.0,65.0,74.0,34.0,90.0,79.0,LM RM ,Mill,4000000.0,9000.0,LM,24-30,Pro
2931,2931,F. Sambueza,28,73,73,Asociacion Deportivo Cali,€4M,€4K,79.0,55.0,69.0,71.0,72.0,63.0,35.0,81.0,71.0,RM CAM ,Mill,4000000.0,4000.0,RM,24-30,Pro
2932,2932,F. Rinaudo,30,73,73,Gimnasia y Esgrima La Plata,€3M,€15K,76.0,83.0,69.0,74.0,51.0,77.0,71.0,69.0,76.0,CM CDM ,Mill,3000000.0,15000.0,CM,24-30,Pro
2933,2933,S. Schrijvers,20,73,81,KRC Genk,€6M,€13K,76.0,66.0,74.0,73.0,71.0,69.0,53.0,73.0,76.0,LM RM CF CAM ,Mill,6000000.0,13000.0,LM,18-24,Pro
2934,2934,J. Plašil,35,73,73,Girondins de Bordeaux,€1.7M,€28K,43.0,63.0,78.0,75.0,60.0,58.0,54.0,38.0,53.0,CDM CM ,Mill,1000000.0,28000.0,CD,30-36,Pro
2936,2936,A. Barboza,22,73,83,River Plate,€5.5M,€16K,52.0,69.0,59.0,51.0,27.0,38.0,75.0,52.0,59.0,CB ,Mill,5000000.0,16000.0,CB,18-24,Pro
2937,2937,T. Davies,19,73,85,Everton,€7M,€46K,74.0,77.0,77.0,73.0,64.0,70.0,69.0,73.0,81.0,CAM CM ,Mill,7000000.0,46000.0,CA,18-24,Pro
2939,2939,E. Ofori,22,73,81,VfB Stuttgart,€6M,€21K,76.0,80.0,78.0,77.0,47.0,71.0,58.0,68.0,76.0,CM ,Mill,6000000.0,21000.0,CM,18-24,Pro
2940,2940,D. Gibson,29,73,73,Sunderland,€3.8M,€12K,52.0,72.0,74.0,64.0,56.0,82.0,75.0,52.0,61.0,CDM CM ,Mill,3000000.0,12000.0,CD,24-30,Pro
2941,2941,G. Hooper,29,73,73,Sheffield Wednesday,€4M,€58K,70.0,54.0,73.0,65.0,75.0,77.0,73.0,68.0,69.0,ST ,Mill,4000000.0,58000.0,ST,24-30,Pro
2942,2942,F. Santander,26,73,76,FC København,€5M,€23K,70.0,68.0,72.0,65.0,73.0,75.0,80.0,74.0,76.0,ST ,Mill,5000000.0,23000.0,ST,24-30,Pro
2943,2943,N. Füllkrug,24,73,77,Hannover 96,€5.5M,€35K,69.0,65.0,70.0,69.0,73.0,73.0,83.0,68.0,74.0,ST ,Mill,5000000.0,35000.0,ST,18-24,Pro
2944,2944,Leandro Vivenço,29,73,73,Sociedade Esportiva Palmeiras,€4M,€37K,73.0,57.0,75.0,77.0,76.0,83.0,54.0,76.0,78.0,ST ,Mill,4000000.0,37000.0,ST,24-30,Pro
2945,2945,A. Ramírez,36,73,73,Atletico Nacional Medellin,€1.3M,€5K,69.0,50.0,72.0,71.0,68.0,76.0,77.0,66.0,74.0,CDM CM ,Mill,1000000.0,5000.0,CD,30-36,Pro
2946,2946,S. Dewaest,26,73,76,KRC Genk,€4.2M,€15K,49.0,83.0,48.0,28.0,33.0,70.0,88.0,58.0,80.0,CB ,Mill,4000000.0,15000.0,CB,24-30,Pro
2947,2947,T. Monconduit,26,73,75,Amiens SC Football,€4M,€18K,69.0,74.0,71.0,69.0,49.0,65.0,73.0,69.0,85.0,CM CDM ,Mill,4000000.0,18000.0,CM,24-30,Pro
2948,2948,J. Cuero,29,73,73,Monarcas Morelia,€3.9M,€13K,93.0,31.0,72.0,73.0,66.0,75.0,59.0,93.0,81.0,LM ,Mill,3000000.0,13000.0,LM,24-30,Pro
2949,2949,Roni,26,73,74,CF Os Belenenses,€4.7M,€8K,77.0,32.0,75.0,79.0,71.0,78.0,51.0,80.0,65.0,CAM RM LM ,Mill,4000000.0,8000.0,CA,24-30,Pro
2950,2950,J. Kluivert,18,73,86,Ajax,€7M,€8K,87.0,62.0,78.0,83.0,64.0,65.0,60.0,86.0,67.0,LW RW ,Mill,7000000.0,8000.0,LW,Younger than 18,Pro
2951,2951,A. Donatti,30,73,73,Club Tijuana,€3M,€20K,52.0,75.0,62.0,50.0,48.0,80.0,77.0,55.0,69.0,CB ,Mill,3000000.0,20000.0,CB,24-30,Pro
3092,3092,J. Jeanvier,24,73,78,Stade de Reims,€4.5M,€9K,72.0,72.0,60.0,44.0,30.0,46.0,81.0,72.0,72.0,CB ,Mill,4000000.0,9000.0,CB,18-24,Pro
3083,3083,A. Behich,26,73,76,Bursaspor,€4.1M,€17K,84.0,73.0,72.0,74.0,61.0,63.0,52.0,83.0,82.0,RB LB ,Mill,4000000.0,17000.0,RB,24-30,Pro
3094,3094,H. Yebda,33,73,73,CF Os Belenenses,€1.6M,€8K,34.0,88.0,69.0,67.0,47.0,83.0,79.0,34.0,65.0,CM CDM ,Mill,1000000.0,8000.0,CM,30-36,Pro
3219,3219,C. Cathcart,28,73,73,Watford,€3.2M,€46K,50.0,69.0,59.0,47.0,29.0,56.0,75.0,61.0,71.0,RB CB ,Mill,3000000.0,46000.0,RB,24-30,Pro
3221,3221,J. Insaurralde,32,73,73,Boca Juniors,€2.3M,€21K,49.0,78.0,58.0,39.0,38.0,48.0,80.0,49.0,62.0,CB ,Mill,2000000.0,21000.0,CB,30-36,Pro
3222,3222,Zaldúa,25,73,77,CD Leganés,€4.3M,€23K,73.0,78.0,65.0,55.0,25.0,48.0,60.0,72.0,66.0,RB ,Mill,4000000.0,23000.0,RB,24-30,Pro
3223,3223,R. van Eijden,29,73,73,AZ Alkmaar,€3.1M,€11K,35.0,74.0,57.0,39.0,21.0,58.0,84.0,35.0,64.0,CB ,Mill,3000000.0,11000.0,CB,24-30,Pro
3224,3224,Pedro Mendes,26,73,77,Montpellier Hérault SC,€4.3M,€23K,61.0,79.0,60.0,60.0,25.0,67.0,76.0,64.0,75.0,CB ,Mill,4000000.0,23000.0,CB,24-30,Pro
3225,3225,A. Bjelland,28,73,73,Brentford,€3.2M,€40K,48.0,69.0,66.0,56.0,35.0,57.0,84.0,51.0,70.0,LB CB ,Mill,3000000.0,40000.0,LB,24-30,Pro
3226,3226,M. Kelly,27,73,74,Crystal Palace,€3.7M,€44K,56.0,70.0,67.0,59.0,38.0,61.0,79.0,60.0,75.0,CB LB RB ,Mill,3000000.0,44000.0,CB,24-30,Pro
3227,3227,J. Gutiérrez,33,73,73,Independiente,€2.3M,€21K,61.0,55.0,77.0,75.0,63.0,77.0,75.0,63.0,68.0,LM CM ,Mill,2000000.0,21000.0,LM,30-36,Pro
3228,3228,L. Mareček,27,73,73,Sparta Praha,€3.4M,€1K,71.0,68.0,73.0,68.0,48.0,67.0,65.0,72.0,82.0,CM CB CDM ,Mill,3000000.0,1000.0,CM,24-30,Pro
3229,3229,D. Novaretti,32,73,73,Club León,€2.3M,€27K,43.0,82.0,50.0,32.0,26.0,31.0,90.0,44.0,62.0,CB ,Mill,2000000.0,27000.0,CB,30-36,Pro
3230,3230,O. Alderete,20,73,83,Gimnasia y Esgrima La Plata,€5.5M,€11K,69.0,64.0,74.0,65.0,61.0,62.0,81.0,69.0,76.0,LB CB ,Mill,5000000.0,11000.0,LB,18-24,Pro
3231,3231,H. Ejeda,33,73,73,Everton de Viña del Mar,€2.4M,€5K,83.0,46.0,71.0,75.0,58.0,46.0,52.0,80.0,67.0,LM RM ,Mill,2000000.0,5000.0,LM,30-36,Pro
3233,3233,G. McCleary,30,73,73,Reading,€3.8M,€37K,89.0,55.0,72.0,76.0,68.0,78.0,73.0,88.0,71.0,ST RM RW ,Mill,3000000.0,37000.0,ST,24-30,Pro
3234,3234,Luccas Claro,25,73,76,Gençlerbirliği SK,€4.2M,€16K,49.0,83.0,51.0,46.0,24.0,56.0,88.0,37.0,64.0,CB ,Mill,4000000.0,16000.0,CB,24-30,Pro
3235,3235,B. Alemán,27,73,73,Gimnasia y Esgrima La Plata,€4.2M,€16K,81.0,66.0,73.0,75.0,62.0,76.0,72.0,83.0,69.0,CM LM ,Mill,4000000.0,16000.0,CM,24-30,Pro
3236,3236,I. Köybaşı,27,73,73,Fenerbahçe SK,€3.3M,€51K,78.0,72.0,75.0,75.0,62.0,81.0,62.0,82.0,79.0,LB ,Mill,3000000.0,51000.0,LB,24-30,Pro
3239,3239,Clinton Mata,24,73,77,KRC Genk,€4.3M,€12K,86.0,71.0,66.0,71.0,53.0,66.0,63.0,89.0,80.0,RM RB ,Mill,4000000.0,12000.0,RM,18-24,Pro
3240,3240,S. Hutchinson,27,73,74,Sheffield Wednesday,€3.8M,€47K,64.0,92.0,67.0,62.0,51.0,57.0,74.0,67.0,68.0,CB CM CDM ,Mill,3000000.0,47000.0,CB,24-30,Pro
3241,3241,R. Rodelin,27,73,73,SM Caen,€4.2M,€25K,66.0,42.0,77.0,75.0,76.0,72.0,75.0,67.0,69.0,RW RM LW ,Mill,4000000.0,25000.0,RW,24-30,Pro
3242,3242,L. Bridcutt,28,73,74,Nottingham Forest,€3.6M,€27K,68.0,70.0,72.0,68.0,45.0,62.0,74.0,69.0,84.0,CM CDM ,Mill,3000000.0,27000.0,CM,24-30,Pro
3220,3220,Ivo Pinto,27,73,73,Norwich City,€3.3M,€32K,79.0,69.0,68.0,68.0,38.0,61.0,70.0,84.0,77.0,RB ,Mill,3000000.0,32000.0,RB,24-30,Pro
3217,3217,Tito,31,73,73,CD Leganés,€2.6M,€21K,70.0,69.0,69.0,65.0,43.0,59.0,63.0,72.0,75.0,LB RB ,Mill,2000000.0,21000.0,LB,30-36,Pro
3244,3244,Juninho,34,73,73,Tigres U.A.N.L.,€1.2M,€50K,30.0,65.0,63.0,59.0,56.0,80.0,80.0,33.0,67.0,CB ,Mill,1000000.0,50000.0,CB,30-36,Pro
3216,3216,R. Lawal,27,73,75,Osmanlıspor,€3.9M,€17K,72.0,77.0,73.0,73.0,65.0,79.0,87.0,76.0,89.0,CAM CM CDM ,Mill,3000000.0,17000.0,CA,24-30,Pro
3197,3197,A. Hegazy,26,73,76,West Bromwich Albion,€4.2M,€52K,39.0,76.0,62.0,37.0,17.0,27.0,81.0,49.0,66.0,CB ,Mill,4000000.0,52000.0,CB,24-30,Pro
3198,3198,R. Lod,24,73,77,Panathinaikos FC,€5M,€1K,71.0,56.0,75.0,72.0,72.0,76.0,67.0,73.0,67.0,RM CAM ,Mill,5000000.0,1000.0,RM,18-24,Pro
3199,3199,M. Lacen,33,73,73,Getafe CF,€1.6M,€21K,56.0,80.0,72.0,70.0,49.0,70.0,69.0,56.0,72.0,CM CDM ,Mill,1000000.0,21000.0,CM,30-36,Pro
3200,3200,D. Gray,21,73,83,Leicester City,€6.5M,€45K,90.0,33.0,77.0,82.0,64.0,74.0,56.0,90.0,72.0,LM ,Mill,6000000.0,45000.0,LM,18-24,Pro
3201,3201,C. Larin,22,73,81,Orlando City Soccer Club,€6M,€9K,67.0,64.0,68.0,66.0,75.0,82.0,81.0,73.0,70.0,ST ,Mill,6000000.0,9000.0,ST,18-24,Pro
3202,3202,P. Etebo,21,73,82,CD Feirense,€6M,€9K,85.0,47.0,76.0,77.0,66.0,81.0,61.0,84.0,68.0,CAM ST LM ,Mill,6000000.0,9000.0,CA,18-24,Pro
3203,3203,P. Chavarría,29,73,73,Stade de Reims,€4M,€12K,74.0,68.0,73.0,72.0,73.0,72.0,73.0,76.0,78.0,RM ST ,Mill,4000000.0,12000.0,RM,24-30,Pro
3204,3204,Ademilson,23,73,79,Gamba Osaka,€5.5M,€13K,87.0,57.0,78.0,80.0,72.0,73.0,72.0,92.0,76.0,RM ST ,Mill,5000000.0,13000.0,RM,18-24,Pro
3205,3205,E. Prib,27,73,73,Hannover 96,€4.2M,€36K,77.0,63.0,73.0,73.0,61.0,74.0,68.0,77.0,78.0,CM LB LM ,Mill,4000000.0,36000.0,CM,24-30,Pro
3206,3206,A. Adnan,23,73,79,Udinese,€4.6M,€20K,73.0,74.0,73.0,76.0,54.0,86.0,77.0,78.0,86.0,LM LB ,Mill,4000000.0,20000.0,LM,18-24,Pro
3207,3207,Diogo Gonçalves,20,73,84,SL Benfica,€7M,€10K,79.0,58.0,76.0,79.0,66.0,75.0,65.0,84.0,72.0,LM RM ,Mill,7000000.0,10000.0,LM,18-24,Pro
3208,3208,F. Zampedri,29,73,73,Rosario Central,€4M,€20K,71.0,66.0,69.0,70.0,74.0,75.0,81.0,73.0,66.0,ST ,Mill,4000000.0,20000.0,ST,24-30,Pro
3209,3209,A. Zeneli,22,73,78,SC Heerenveen,€5.5M,€11K,88.0,61.0,78.0,83.0,66.0,72.0,54.0,85.0,73.0,RW LW ,Mill,5000000.0,11000.0,RW,18-24,Pro
3210,3210,N. Barazite,27,73,74,Evkur Yeni Malatyaspor,€4.6M,€16K,68.0,44.0,76.0,79.0,68.0,71.0,66.0,67.0,67.0,CAM ,Mill,4000000.0,16000.0,CA,24-30,Pro
3211,3211,J. Börner,26,73,73,DSC Arminia Bielefeld,€3.5M,€9K,61.0,77.0,56.0,55.0,56.0,70.0,82.0,66.0,71.0,CB ,Mill,3000000.0,9000.0,CB,24-30,Pro
